City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
59,Rikitea,PF,2022-05-14 22:10:38,-23.1203,-134.9692,76.26,70,1,21.12,clear sky
60,Vershino-Shakhtaminskiy,RU,2022-05-14 22:16:53,51.3012,117.8868,37.83,67,65,4.29,broken clouds
61,Kapaa,US,2022-05-14 22:16:54,22.0752,-159.319,82.72,75,40,12.66,scattered clouds
62,Northam,GB,2022-05-14 22:16:55,51.0333,-4.2167,53.62,85,100,4.21,overcast clouds
63,Tiksi,RU,2022-05-14 22:16:55,71.6872,128.8694,12.54,93,37,3.71,scattered clouds
64,Isangel,VU,2022-05-14 22:14:41,-19.55,169.2667,77.13,64,100,14.54,overcast clouds
65,Atuona,PF,2022-05-14 22:16:57,-9.8,-139.0333,78.19,78,84,16.33,light rain
66,New Norfolk,AU,2022-05-14 22:07:14,-42.7826,147.0587,56.88,75,50,1.01,scattered clouds
67,Stutterheim,ZA,2022-05-14 22:16:58,-32.5708,27.424,46.22,95,5,3.2,clear sky
68,Victoria,HK,2022-05-14 22:09:21,22.2855,114.1577,73.96,94,100,18.01,heavy intensity rain
69,Vaitape,PF,2022-05-14 22:16:59,-16.5167,-151.75,81.46,65,0,14.18,clear sky
70,Lata,PT,2022-05-14 22:08:54,40.1629,-8.3327,59.05,92,2,2.26,clear sky
71,Sol-Iletsk,RU,2022-05-14 22:17:01,51.1631,54.9918,52.72,92,100,9.13,light rain
72,Linxia,CN,2022-05-14 22:17:02,35.6003,103.2064,40.35,86,100,1.9,overcast clouds
73,Hami,CN,2022-05-14 22:07:34,42.8,93.45,60.98,10,27,6.96,scattered clouds
74,Puerto Ayacucho,VE,2022-05-14 22:17:04,5.6639,-67.6236,83.07,80,86,3.31,overcast clouds
75,Sola,VU,2022-05-14 22:17:04,-13.8833,167.55,79.75,71,98,13.91,overcast clouds
76,Biloela,AU,2022-05-14 22:17:05,-24.4167,150.5,70.02,83,0,1.7,clear sky
77,Cururupu,BR,2022-05-14 22:10:42,-1.8283,-44.8683,76.48,93,100,5.06,moderate rain
78,Hithadhoo,MV,2022-05-14 22:17:06,-0.6,73.0833,82.83,68,98,10.69,overcast clouds
79,Plettenberg Bay,ZA,2022-05-14 22:07:21,-34.0527,23.3716,56.21,79,0,3.83,clear sky
80,Pochinki,RU,2022-05-14 22:17:07,54.6988,44.8668,44.33,94,49,8.19,scattered clouds
81,Tarakan,ID,2022-05-14 22:17:08,3.3,117.6333,79.45,88,100,5.14,overcast clouds
82,Hovd,MN,2022-05-14 22:17:09,48.0056,91.6419,49.26,19,0,2.17,clear sky
83,Clyde River,CA,2022-05-14 22:05:35,70.4692,-68.5914,27.28,78,32,4.16,scattered clouds
84,Clarence Town,AU,2022-05-14 22:17:11,-32.5833,151.7833,66.97,84,95,3.13,overcast clouds
85,Sao Joao Da Barra,BR,2022-05-14 22:17:12,-21.6403,-41.0511,72.86,72,98,8.93,overcast clouds
86,Berlevag,NO,2022-05-14 22:17:13,70.8578,29.0864,37.2,80,20,4.61,few clouds
87,Port Alfred,ZA,2022-05-14 22:17:03,-33.5906,26.891,61.03,80,13,5.21,few clouds
