City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Fortuna,US,2022-05-13 00:20:42,40.5982,-124.1573,57.09,66,100,6.91
59,Khatanga,RU,2022-05-13 00:20:43,71.9667,102.5,14.16,92,12,12.03
60,Nanakuli,US,2022-05-13 00:20:43,21.3906,-158.1547,84.15,50,0,16.11
61,Grindavik,IS,2022-05-13 00:20:45,63.8424,-22.4338,36.07,75,20,16.11
62,Hamilton,US,2022-05-13 00:17:31,39.1834,-84.5333,80.44,46,0,9.22
63,Chuy,UY,2022-05-13 00:20:45,-33.6971,-53.4616,52.57,71,16,4.83
64,Busselton,AU,2022-05-13 00:20:46,-33.65,115.3333,56.35,71,84,16.96
65,Najran,SA,2022-05-13 00:20:47,17.4924,44.1277,77.65,18,2,2.44
66,Pochutla,MX,2022-05-13 00:20:47,15.7432,-96.4661,91.22,58,32,8.16
67,Key Largo,US,2022-05-13 00:18:00,25.0865,-80.4473,77.0,60,10,1.61
68,Zarubino,RU,2022-05-13 00:20:49,42.63,131.0922,52.77,52,82,4.7
69,Castro,BR,2022-05-13 00:20:49,-24.7911,-50.0119,54.7,91,10,1.34
70,Puerto Escondido,MX,2022-05-13 00:20:50,15.85,-97.0667,88.63,62,40,5.75
71,Tual,ID,2022-05-13 00:20:50,-5.6667,132.75,84.24,71,99,5.35
72,Kaitangata,NZ,2022-05-13 00:20:51,-46.2817,169.8464,54.14,60,93,3.8
73,Gallipoli,TR,2022-05-13 00:20:51,40.4103,26.6708,49.86,55,4,6.35
74,Tacoronte,ES,2022-05-13 00:20:52,28.4769,-16.4102,65.25,92,100,16.11
75,Mar Del Plata,AR,2022-05-13 00:17:16,-38.0023,-57.5575,56.95,78,40,17.0
76,Bredasdorp,ZA,2022-05-13 00:20:53,-34.5322,20.0403,54.41,74,6,7.52
77,Emborion,GR,2022-05-13 00:20:53,40.4833,21.55,53.96,81,29,2.48
78,Sibolga,ID,2022-05-13 00:20:54,1.7427,98.7792,77.25,84,86,3.09
79,Hilo,US,2022-05-13 00:20:54,19.7297,-155.09,83.28,71,20,10.36
80,Axim,GH,2022-05-13 00:20:55,4.8699,-2.2405,80.08,83,98,7.09
81,Isangel,VU,2022-05-13 00:20:55,-19.55,169.2667,80.71,61,75,9.22
82,Souris,CA,2022-05-13 00:20:56,49.6172,-100.2612,57.06,77,93,22.41
83,Sao Joao Da Barra,BR,2022-05-13 00:20:56,-21.6403,-41.0511,72.81,80,70,12.03
84,Del Rio,US,2022-05-13 00:20:57,29.3627,-100.8968,98.62,26,0,19.57
85,San Luis,AR,2022-05-13 00:20:57,-33.295,-66.3356,58.33,70,99,8.21
86,Atuona,PF,2022-05-13 00:20:58,-9.8,-139.0333,78.94,78,17,23.13
87,Shelburne,CA,2022-05-13 00:20:58,44.0787,-80.2041,75.99,78,100,6.31
88,Mumford,GH,2022-05-13 00:20:59,5.2618,-0.759,81.03,82,90,7.16
89,Jamestown,US,2022-05-13 00:21:00,42.097,-79.2353,76.64,43,0,1.01
90,Kouqian,CN,2022-05-13 00:21:00,43.6391,126.4578,54.88,40,55,4.94
91,Baykit,RU,2022-05-13 00:21:02,61.67,96.37,45.75,83,82,1.28
92,Barroquinha,BR,2022-05-13 00:21:02,-3.0189,-41.1361,74.55,97,44,4.61
93,Puerto Ayora,EC,2022-05-13 00:21:03,-0.7393,-90.3518,72.55,94,47,1.01
94,Tutoia,BR,2022-05-13 00:21:04,-2.7619,-42.2744,77.49,90,53,5.84
95,Phan Thiet,VN,2022-05-13 00:17:24,10.9333,108.1,82.06,79,89,5.55
96,Tecoanapa,MX,2022-05-13 00:21:04,16.5167,-98.75,86.63,67,8,8.79
97,Georgetown,MY,2022-05-13 00:21:05,5.4112,100.3354,82.33,88,20,3.44
98,Avera,US,2022-05-13 00:21:06,33.194,-82.5271,75.38,79,82,8.7
99,Nanortalik,GL,2022-05-13 00:21:07,60.1432,-45.2371,33.62,86,100,0.83
100,Kadoma,JP,2022-05-13 00:21:08,34.7333,135.5833,70.18,77,75,6.91
101,Aklavik,CA,2022-05-13 00:21:08,68.2191,-135.0107,47.21,62,100,5.68
102,Pevek,RU,2022-05-13 00:21:09,69.7008,170.3133,25.45,82,92,15.99
103,Nikolskoye,RU,2022-05-13 00:21:09,59.7035,30.7861,47.88,86,97,11.72
104,Nizwa,OM,2022-05-13 00:21:10,22.9333,57.5333,80.42,18,98,1.25
105,Luderitz,NA,2022-05-13 00:21:10,-26.6481,15.1594,54.99,76,36,10.87
106,Russell,US,2022-05-13 00:21:11,32.3502,-85.1999,82.0,39,0,4.61
107,Road Town,VG,2022-05-13 00:21:12,18.4167,-64.6167,80.69,83,40,13.8
